         66773765 function calls (66611606 primitive calls) in 565.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      512    0.000    0.000    0.000    0.000 transforms.py:239(x0)
       32    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
        8    0.000    0.000    0.001    0.000 queues.py:211(_feed)
      800    0.000    0.000    0.000    0.000 process.py:156(__init__)
      763    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        7    0.000    0.000    0.218    0.031 hdulist.py:975(writeto)
       32    0.000    0.000    0.000    0.000 process.py:80(__init__)
       88    0.000    0.000    0.015    0.000 lines.py:1338(update_from)
     1499    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      208    0.000    0.000    0.001    0.000 transforms.py:319(min)
       14    0.000    0.000    0.001    0.000 Calibration.py:640(normalize_spectrum)
      210    0.000    0.000    0.001    0.000 transforms.py:324(max)
       18    0.000    0.000    0.001    0.000 PngImagePlugin.py:754(_open)
      360    0.000    0.000    0.000    0.000 font_manager.py:784(set_family)
       96    0.000    0.000    0.010    0.000 text.py:104(__init__)
      133    0.000    0.000    0.000    0.000 weakref.py:289(update)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.round}
      276    0.000    0.000    0.001    0.000 artist.py:435(set_transform)
        6    0.000    0.000    0.000    0.000 cbook.py:58(_get_running_interactive_framework)
       96    0.000    0.000    0.001    0.000 synchronize.py:100(__getstate__)
      171    0.000    0.000    0.001    0.000 path.py:202(_update_values)
      162    0.000    0.000    0.001    0.000 weakref.py:164(__setitem__)
      800    0.000    0.000    0.001    0.000 process.py:729(_start_executor_manager_thread)
    82/80    0.000    0.000    0.001    0.000 transforms.py:1777(__eq__)
       14    0.000    0.000    0.002    0.000 table.py:1496(_binary_table_byte_swap)
      153    0.000    0.000    0.003    0.000 column.py:1288(_determine_formats)
       74    0.000    0.000    0.000    0.000 column.py:454(from_tform)
      116    0.000    0.000    0.001    0.000 text.py:995(set_color)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
       16    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
     1108    0.000    0.000    0.000    0.000 transforms.py:1926(get_matrix)
       24    0.000    0.000    0.003    0.000 axis.py:2821(get_tick_space)
        2    0.000    0.000    0.012    0.006 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 enum.py:1679(convert_class)
     1536    0.000    0.000    0.000    0.000 font_manager.py:926(get_math_fontfamily)
      208    0.000    0.000    0.002    0.000 path.py:657(intersects_bbox)
        7    0.000    0.000    0.006    0.001 table.py:503(_prewriteto)
        8    0.000    0.000    0.000    0.000 _arraysetops_impl.py:339(_unique1d)
     1538    0.000    0.000    0.000    0.000 font_manager.py:768(get_file)
       20    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:340(_broadcast_to)
      329    0.000    0.000    0.001    0.000 header.py:1861(_set_slice)
      128    0.000    0.000    0.001    0.000 reduction.py:106(__init__)
       30    0.000    0.000    0.000    0.000 hdulist.py:245(__init__)
       48    0.000    0.000    0.000    0.000 random.py:454(choices)
      454    0.000    0.000    0.000    0.000 text.py:1275(set_text)
       48    0.000    0.000    0.000    0.000 util.py:186(__init__)
      118    0.000    0.000    0.001    0.000 hdulist.py:330(__iter__)
       18    0.000    0.000    0.005    0.000 axis.py:1538(get_minorticklocs)
      212    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      226    0.000    0.000    0.001    0.000 transforms.py:1995(rotate_deg)
      226    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      376    0.000    0.000    0.001    0.000 arrayprint.py:1042(<genexpr>)
        5    0.000    0.000    0.000    0.000 _interpolate.py:457(_call_linear)
       36    0.000    0.000    0.000    0.000 ticker.py:1982(scale_range)
      244    0.000    0.000    0.001    0.000 colors.py:242(_check_color_like)
      128    0.000    0.000    0.002    0.000 font_manager.py:556(wrapper)
       16    0.000    0.000    0.055    0.003 utils.py:718(convert_to_float)
      274    0.000    0.000    0.000    0.000 hdulist.py:844(_positive_index_of)
       80    0.000    0.000    0.001    0.000 transforms.py:1108(get_points)
      100    0.000    0.000    0.002    0.000 axis.py:467(update_position)
    53/13    0.000    0.000    0.043    0.003 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
      117    0.000    0.000    0.000    0.000 _ni_support.py:62(_normalize_sequence)
       76    0.000    0.000    0.002    0.000 base.py:926(__init__)
       32    0.000    0.000    0.001    0.000 spawn.py:83(get_command_line)
        8    0.000    0.000    0.000    0.000 _base.py:155(_create_and_install_waiters)
      236    0.000    0.000    0.000    0.000 _ufunc_config.py:440(__enter__)
       88    0.000    0.000    0.001    0.000 transforms.py:2751(__init__)
        4    0.000    0.000    0.010    0.003 legend.py:1147(_find_best_position)
      160    0.000    0.000    0.001    0.000 records.py:411(__array_finalize__)
      252    0.000    0.000    0.000    0.000 transforms.py:338(intervaly)
       53    0.000    0.000    0.007    0.000 utils.py:146(_tile_shape)
      212    0.000    0.000    0.001    0.000 __init__.py:179(sub)
       52    0.000    0.000    0.003    0.000 artist.py:784(set_clip_path)
      306    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      376    0.000    0.000    0.000    0.000 arrayprint.py:1037(<genexpr>)
       16    0.000    0.000    0.003    0.000 _base.py:396(_plot_args)
      800    0.000    0.000    0.000    0.000 _base.py:398(__get_result)
      206    0.000    0.000    0.001    0.000 _weakrefset.py:85(add)
       36    0.000    0.000    0.001    0.000 transforms.py:460(transformed)
      244    0.000    0.000    0.001    0.000 colors.py:223(is_color_like)
       30    0.000    0.000    0.350    0.012 hdulist.py:1049(close)
       46    0.000    0.000    0.000    0.000 header.py:1994(__init__)
      324    0.000    0.000    0.000    0.000 offsetbox.py:187(<genexpr>)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        7    0.000    0.000    0.001    0.000 fitsrec.py:1083(_scale_back)
      122    0.000    0.000    0.001    0.000 file.py:450(seek)
       16    0.000    0.000    0.055    0.003 dtype.py:209(_convert)
      186    0.000    0.000    0.000    0.000 text.py:1259(set_verticalalignment)
        2    0.000    0.000    0.011    0.006 legend.py:837(_init_legend_box)
  824/823    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       21    0.000    0.000    0.059    0.003 util.py:546(_array_to_file)
      158    0.000    0.000    0.001    0.000 column.py:748(__hash__)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       72    0.000    0.000    0.008    0.000 {built-in method builtins.sum}
      136    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.002    0.000 connection.py:534(Pipe)
      458    0.000    0.000    0.001    0.000 __init__.py:1339(is_interactive)
      262    0.000    0.000    0.002    0.000 transforms.py:1340(__add__)
      736    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
      228    0.000    0.000    0.000    0.000 text.py:687(_get_wrapped_text)
      190    0.000    0.000    0.001    0.000 <frozen _collections_abc>:811(__contains__)
       93    0.000    0.000    0.000    0.000 fitsrec.py:1057(_get_scale_factors)
       23    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        7    0.000    0.000    0.004    0.001 Calibration.py:646(calculate_spectral_shift)
       16    0.000    0.000    0.002    0.000 transforms.py:641(union)
       88    0.000    0.000    0.003    0.000 artist.py:1243(_cm_set)
        8    0.000    0.000    0.004    0.001 process.py:622(__init__)
       21    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
      408    0.000    0.000    0.006    0.000 _methods.py:46(_amin)
  498/322    0.000    0.000    0.000    0.000 transforms.py:2400(<lambda>)
      308    0.000    0.000    0.001    0.000 __init__.py:1609(getint_event)
      808    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       16    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
      113    0.000    0.000    0.000    0.000 header.py:1946(__set__)
      162    0.000    0.000    0.000    0.000 weakref.py:352(__init__)
       14    0.000    0.000    0.001    0.000 fitsrec.py:788(_convert_p)
        5    0.000    0.000    0.001    0.000 _interpolate.py:263(__init__)
      107    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
      130    0.000    0.000    0.001    0.000 column.py:2422(_convert_fits2record)
      128    0.000    0.000    0.000    0.000 lines.py:1409(set_dash_capstyle)
      122    0.000    0.000    0.000    0.000 font_manager.py:1154(get_default_size)
      163    0.000    0.000    0.002    0.000 fitsrec.py:1310(_get_recarray_field)
      306    0.000    0.000    0.000    0.000 artist.py:448(get_transform)
       34    0.000    0.000    0.002    0.000 __init__.py:4060(__init__)
       36    0.000    0.000    0.003    0.000 ticker.py:214(format_ticks)
  169/118    0.000    0.000    0.000    0.000 util.py:330(isfile)
       24    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
      106    0.000    0.000    0.003    0.000 text.py:1316(set_fontproperties)
       18    0.000    0.000    0.001    0.000 ticker.py:783(_set_order_of_magnitude)
       52    0.000    0.000    0.000    0.000 getlimits.py:598(smallest_normal)
      294    0.000    0.000    0.000    0.000 lines.py:75(_scale_dashes)
       56    0.000    0.000    0.001    0.000 fitsrec.py:273(_init)
      126    0.000    0.000    0.001    0.000 ticker.py:608(__call__)
       82    0.000    0.000    0.000    0.000 transforms.py:359(size)
      190    0.000    0.000    0.000    0.000 text.py:1010(set_horizontalalignment)
       26    0.000    0.000    0.000    0.000 transforms.py:479(anchored)
      200    0.000    0.000    0.000    0.000 transforms.py:347(width)
      106    0.000    0.000    0.000    0.000 header.py:798(clear)
        2    0.000    0.000    0.001    0.001 figure.py:2464(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib._c_internal_utils.Win32_SetProcessDpiAwareness_max}
       16    0.000    0.000    0.016    0.001 axis.py:367(__init__)
       24    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       90    0.000    0.000    0.000    0.000 PngImagePlugin.py:161(read)
      233    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 fromnumeric.py:1251(argmax)
      982    0.000    0.000    0.000    0.000 path.py:211(vertices)
       32    0.000    0.000    0.018    0.001 ImageTk.py:92(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
      120    0.000    0.000    0.000    0.000 offsetbox.py:332(get_visible_children)
       32    0.000    0.000    0.209    0.007 process.py:762(_spawn_process)
       36    0.000    0.000    0.001    0.000 transforms.py:1418(__sub__)
      274    0.000    0.000    0.000    0.000 hdulist.py:772(index_of)
       20    0.000    0.000    0.002    0.000 axis.py:302(_apply_params)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        8    0.000    0.000   25.388    3.174 Calibration.py:504(load_3d_region)
      800    0.000    0.000    0.000    0.000 process.py:142(__init__)
      172    0.000    0.000    0.000    0.000 file.py:462(tell)
      843    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
       18    0.000    0.000    0.002    0.000 ImageFile.py:113(__init__)
        7    0.000    0.000    0.007    0.001 Calibration.py:619(align_spectrum)
       26    0.000    0.000    0.003    0.000 __init__.py:2617(__init__)
      512    0.000    0.000    0.000    0.000 artist.py:297(axes)
       30    0.000    0.000    0.095    0.003 hdulist.py:469(fromfile)
      304    0.000    0.000    0.001    0.000 artist.py:268(convert_xunits)
       72    0.000    0.000    0.001    0.000 transforms.py:2766(_revalidate)
      368    0.000    0.000    0.000    0.000 base.py:491(<genexpr>)
      513    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
      128    0.000    0.000    0.000    0.000 units.py:56(_is_natively_supported)
      178    0.000    0.000    0.000    0.000 base.py:275(_data_loaded)
      496    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       16    0.000    0.000    0.016    0.001 axis.py:428(__init__)
       36    0.000    0.000    0.000    0.000 cbook.py:293(connect)
      132    0.000    0.000    0.000    0.000 __init__.py:102(_cnfmerge)
      528    0.000    0.000    0.001    0.000 copy.py:252(<genexpr>)
      234    0.000    0.000    0.006    0.000 legend.py:1165(<genexpr>)
      805    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      128    0.000    0.000    0.000    0.000 lines.py:1129(set_linewidth)
      278    0.000    0.000    0.002    0.000 font_manager.py:677(_from_any)
        2    0.000    0.000    0.016    0.008 _backend_tk.py:622(__init__)
      112    0.000    0.000    0.000    0.000 transforms.py:2027(translate)
      138    0.000    0.000    0.000    0.000 header.py:1966(__getitem__)
      132    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
      474    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      336    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
    46/13    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:905(_load_unlocked)
        2    0.000    0.000    0.026    0.013 _base.py:579(__init__)
      128    0.000    0.000    0.000    0.000 lines.py:1071(set_drawstyle)
       52    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       72    0.000    0.000    0.000    0.000 PngImagePlugin.py:195(call)
      232    0.000    0.000    0.000    0.000 enum.py:197(__get__)
       32    0.000    0.000    0.000    0.000 transforms.py:2487(get_matrix)
      416    0.000    0.000    0.000    0.000 context.py:366(get_spawning_popen)
       32    0.000    0.000    1.411    0.044 process.py:142(join)
       88    0.000    0.000    0.000    0.000 transforms.py:129(__getstate__)
        8    0.000    0.000    0.000    0.000 _base.py:147(__enter__)
     16/8    0.000    0.000   12.831    1.604 threading.py:1132(_wait_for_tstate_lock)
      108    0.000    0.000    0.000    0.000 text.py:1227(set_rotation)
       16    0.000    0.000    0.006    0.000 arrayprint.py:605(array2string)
      388    0.000    0.000    0.000    0.000 inspect.py:3062(<genexpr>)
       14    0.000    0.000    0.014    0.001 _backend_tk.py:827(_Button)
      128    0.000    0.000    0.000    0.000 font_manager.py:798(set_style)
       16    0.000    0.000    0.006    0.000 legend_handler.py:285(create_artists)
      306    0.000    0.000    0.001    0.000 _methods.py:50(_sum)
       74    0.000    0.000    0.000    0.000 Image.py:587(_new)
       92    0.000    0.000    0.001    0.000 transforms.py:1832(frozen)
       22    0.000    0.000    0.001    0.000 offsetbox.py:389(__init__)
      144    0.000    0.000    0.001    0.000 lines.py:738(set_transform)
      651    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       16    0.000    0.000    0.000    0.000 threading.py:861(__init__)
      141    0.000    0.000    0.001    0.000 fromnumeric.py:2879(cumsum)
      181    0.000    0.000    0.002    0.000 column.py:2524(_convert_format)
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib.backends._tkagg.enable_dpi_awareness}
       56    0.000    0.000    0.000    0.000 column.py:2299(_parse_ascii_tformat)
       14    0.000    0.000    0.001    0.000 patches.py:48(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:279(select_matching_signature)
       16    0.000    0.000    0.000    0.000 arrayprint.py:50(_make_options_dict)
   112/58    0.000    0.000    0.000    0.000 offsetbox.py:233(axes)
       37    0.000    0.000    0.001    0.000 column.py:2373(_parse_tdim)
      144    0.000    0.000    0.003    0.000 transforms.py:2408(transform_affine)
       28    0.000    0.000    0.000    0.000 column.py:2097(__setitem__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      306    0.000    0.000    0.001    0.000 _methods.py:67(_all)
        5    0.000    0.000    0.001    0.000 _arraypad_impl.py:545(pad)
       36    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
       54    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
       51    0.000    0.000    0.000    0.000 inspect.py:747(unwrap)
       30    0.000    0.000    0.005    0.000 hdulist.py:944(update_extend)
       16    0.000    0.000    0.006    0.000 arrayprint.py:567(_array2string)
      366    0.000    0.000    0.000    0.000 getlimits.py:721(max)
       24    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
      142    0.000    0.000    0.000    0.000 lines.py:33(_get_dash_pattern)
      128    0.000    0.000    0.001    0.000 backend_bases.py:848(set_clip_path)
       23    0.000    0.000   72.317    3.144 compressed.py:475(data)
      253    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.000    0.000 __init__.py:1491(_getints)
      149    0.000    0.000    0.000    0.000 header.py:315(comments)
       58    0.000    0.000    0.001    0.000 axis.py:406(update_position)
        2    0.000    0.000    0.012    0.006 legend.py:354(__init__)
       76    0.000    0.000    0.232    0.003 decorators.py:869(__delete__)
      126    0.000    0.000    0.000    0.000 ticker.py:550(_format_maybe_minus_and_locale)
      748    0.000    0.000    0.000    0.000 font_manager.py:1205(score_style)
        8    0.000    0.000   25.325    3.166 Calibration.py:49(load_array)
      304    0.000    0.000    0.000    0.000 artist.py:280(convert_yunits)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       88    0.000    0.000    0.000    0.000 column.py:443(__new__)
       16    0.000    0.000    0.003    0.000 arrayprint.py:496(_get_format_function)
      720    0.000    0.000    0.000    0.000 artist.py:853(get_visible)
       39    0.000    0.000    0.001    0.000 pathlib.py:437(__str__)
      104    0.000    0.000    0.001    0.000 text.py:1040(set_linespacing)
      126    0.000    0.000    0.000    0.000 path.py:162(_fast_from_codes_and_verts)
        5    0.000    0.000    0.000    0.000 _arraypad_impl.py:470(_as_pairs)
      141    0.000    0.000    0.000    0.000 _internal.py:941(npy_ctypes_check)
        2    0.000    0.000    0.021    0.010 _base.py:1277(__clear)
       23    0.000    0.000    0.000    0.000 data.py:159(is_url)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        8    0.000    0.000    0.000    0.000 _base.py:151(__exit__)
      334    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
       42    0.000    0.000    0.000    0.000 transforms.py:1087(__init__)
       38    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1182(get_data)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      236    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      748    0.000    0.000    0.000    0.000 font_manager.py:1269(score_size)
       36    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
      265    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       67    0.000    0.000    0.000    0.000 _internal.py:538(_view_is_safe)
       12    0.000    0.000    0.001    0.000 axis.py:2591(get_tick_space)
      143    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        5    0.000    0.000    0.001    0.000 _interpolation.py:634(shift)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
       42    0.000    0.000    0.000    0.000 _signaltools.py:96(_reject_objects)
       87    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
      336    0.000    0.000    0.000    0.000 font_manager.py:1610(<genexpr>)
      228    0.000    0.000    0.000    0.000 text.py:284(get_rotation)
      128    0.000    0.000    0.001    0.000 lines.py:1059(set_color)
       24    0.000    0.000    0.000    0.000 utils.py:838(_supported_float_type)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
       30    0.000    0.000    0.004    0.000 table.py:301(__init__)
      128    0.000    0.000    0.000    0.000 transforms.py:1963(clear)
      308    0.000    0.000    0.000    0.000 text.py:1216(set_y)
       68    0.000    0.000    0.001    0.000 __init__.py:1391(_bind)
       26    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.count_bboxes_overlapping_bbox}
      350    0.000    0.000    0.000    0.000 cbook.py:152(__init__)
      128    0.000    0.000    0.001    0.000 backend_bases.py:604(new_gc)
        8    0.000    0.000   12.827    1.603 process.py:549(join_executor_internals)
       18    0.000    0.000    0.009    0.001 Image.py:3409(open)
      112    0.000    0.000    0.000    0.000 cbook.py:2342(_unpack_to_numpy)
       21    0.000    0.000    0.000    0.000 fitsrec.py:1027(_get_raw_data)
       72    0.000    0.000    0.001    0.000 lines.py:717(_transform_path)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
      160    0.000    0.000    0.001    0.000 axis.py:293(_set_artist_props)
       70    0.000    0.000    0.000    0.000 transforms.py:299(xmin)
      236    0.000    0.000    0.000    0.000 _ufunc_config.py:456(__exit__)
       14    0.000    0.000    0.070    0.005 base.py:710(_writeto)
       76    0.000    0.000    0.000    0.000 transforms.py:314(ymax)
       80    0.000    0.000    0.000    0.000 cbook.py:1695(_safe_first_finite)
       92    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      560    0.000    0.000    0.000    0.000 _base.py:855(<genexpr>)
     26/4    0.000    0.000    0.007    0.002 __init__.py:2634(destroy)
      228    0.000    0.000    0.000    0.000 artist.py:1055(set_visible)
      138    0.000    0.000    0.002    0.000 _base.py:865(viewLim)
        6    0.000    0.000    0.006    0.001 spines.py:142(get_window_extent)
      128    0.000    0.000    0.000    0.000 lines.py:1361(set_dash_joinstyle)
       53    0.000    0.000    0.002    0.000 base.py:543(_get_raw_data)
       46    0.000    0.000    0.232    0.005 base.py:784(_close)
        8    0.000    0.000    0.001    0.000 axis.py:1206(_set_lim)
       51    0.000    0.000    0.000    0.000 util.py:395(fileobj_mode)
       20    0.000    0.000    0.006    0.000 axis.py:957(set_tick_params)
       18    0.000    0.000    0.000    0.000 Image.py:420(_getdecoder)
      278    0.000    0.000    0.000    0.000 transforms.py:269(y1)
       36    0.000    0.000    0.001    0.000 axis.py:1605(_get_tick_label_size)
      114    0.000    0.000    0.000    0.000 base.py:279(_has_data)
      122    0.000    0.000    0.001    0.000 file.py:288(read)
       32    0.000    0.000    0.032    0.001 axis.py:1596(_get_tick)
        8    0.000    0.000   11.416    1.427 queues.py:147(join_thread)
       14    0.000    0.000    0.065    0.005 base.py:644(_writedata)
      128    0.000    0.000    0.000    0.000 font_manager.py:811(set_variant)
       56    0.000    0.000    0.002    0.000 offsetbox.py:211(__init__)
       16    0.000    0.000    0.006    0.000 arrayprint.py:1685(_array_str_implementation)
        2    0.000    0.000    0.001    0.001 _base.py:2916(autoscale_view)
       76    0.000    0.000    0.000    0.000 transforms.py:304(ymin)
      374    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       32    0.000    0.000    0.011    0.000 ImageTk.py:170(paste)
       46    0.000    0.000    0.001    0.000 groups.py:298(match_header)
      347    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.134    0.067 _backend_tk.py:500(create_with_canvas)
       64    0.000    0.000    0.001    0.000 lines.py:1189(set_marker)
      128    0.000    0.000    0.000    0.000 lines.py:1425(set_solid_capstyle)
       51    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
       26    0.000    0.000    0.000    0.000 __init__.py:2587(_setup)
      177    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      748    0.000    0.000    0.000    0.000 font_manager.py:1222(score_variant)
       48    0.000    0.000    0.001    0.000 text.py:342(update_from)
      158    0.000    0.000    0.001    0.000 column.py:272(__hash__)
      716    0.000    0.000    0.000    0.000 artist.py:1140(sticky_edges)
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib._c_internal_utils.Win32_GetCurrentProcessExplicitAppUserModelID}
       23    0.000    0.000    0.000    0.000 util.py:769(_get_array_mmap)
       36    0.000    0.000    0.007    0.000 ticker.py:2230(tick_values)
      128    0.000    0.000    0.001    0.000 artist.py:935(_set_gc_clip)
      258    0.000    0.000    0.000    0.000 transforms.py:249(y0)
        7    0.000    0.000    0.031    0.004 compressed.py:532(_add_data_to_bintable)
       18    0.000    0.000    0.002    0.000 offsetbox.py:684(__init__)
      392    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      234    0.000    0.000    0.002    0.000 legend.py:1169(<genexpr>)
       92    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
       24    0.000    0.000    0.014    0.001 axis.py:1617(_copy_tick_props)
      342    0.000    0.000    0.000    0.000 __init__.py:1351(_val_or_rc)
       30    0.000    0.000    0.012    0.000 table.py:395(columns)
       68    0.000    0.000    0.000    0.000 transforms.py:2666(__init__)
       14    0.000    0.000    0.018    0.001 table.py:484(update_header)
       16    0.000    0.000    0.006    0.000 arrayprint.py:550(wrapper)
      236    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      116    0.000    0.000    0.000    0.000 weakref.py:105(remove)
      222    0.000    0.000    0.000    0.000 text.py:1205(set_x)
      376    0.000    0.000    0.000    0.000 arrayprint.py:1047(<genexpr>)
       67    0.000    0.000    0.000    0.000 getlimits.py:493(__new__)
      124    0.000    0.000    0.000    0.000 Image.py:882(load)
        5    0.000    0.000    0.000    0.000 _arraypad_impl.py:86(_pad_simple)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       16    0.000    0.000    0.007    0.000 _axes.py:1532(plot)
       39    0.000    0.000    0.001    0.000 pathlib.py:407(_load_parts)
       51    0.000    0.000    0.000    0.000 column.py:2504(_dtype_to_recformat)
      170    0.000    0.000    0.000    0.000 scale.py:115(get_transform)
      128    0.000    0.000    0.000    0.000 lines.py:1377(set_solid_joinstyle)
       23    0.000    0.000    0.003    0.000 compressed.py:380(match_header)
      282    0.000    0.000    0.000    0.000 {function HDUList.__getitem__ at 0x00000179BEADC2C0}
       36    0.000    0.000    0.008    0.000 ticker.py:2226(__call__)
       70    0.000    0.000    0.000    0.000 transforms.py:309(xmax)
       44    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
      347    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        7    0.000    0.000    0.000    0.000 _signaltools.py:1040(_conv_ops)
      805    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       14    0.000    0.000    0.005    0.000 base.py:630(_writeheader)
        2    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
      376    0.000    0.000    0.000    0.000 arrayprint.py:1046(<genexpr>)
       96    0.000    0.000    0.000    0.000 popen_spawn_win32.py:98(duplicate_for_child)
       56    0.000    0.000    0.001    0.000 column.py:968(_convert_format)
    38/12    0.000    0.000    0.040    0.003 <frozen importlib._bootstrap_external>:988(exec_module)
       18    0.000    0.000    0.002    0.000 Image.py:3482(_open_core)
       70    0.000    0.000    0.000    0.000 text.py:901(get_unitless_position)
       56    0.000    0.000    0.000    0.000 column.py:363(__new__)
       50    0.000    0.000    0.000    0.000 transforms.py:2452(__init__)
      193    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       32    0.000    0.000    0.003    0.000 _base.py:227(__call__)
        7    0.000    0.000    0.020    0.003 hdulist.py:1369(_verify)
       36    0.000    0.000    0.000    0.000 weakref.py:46(__new__)
      316    0.000    0.000    0.000    0.000 transforms.py:195(<lambda>)
      6/0    0.000    0.000    0.000          offsetbox.py:473(_get_bbox_and_child_offsets)
      248    0.000    0.000    0.000    0.000 Image.py:560(im)
      112    0.000    0.000    0.002    0.000 axis.py:2356(getter)
      464    0.000    0.000    0.000    0.000 figure.py:232(get_figure)
       88    0.000    0.000    0.000    0.000 transforms.py:134(__setstate__)
   148/80    0.000    0.000    0.000    0.000 _base.py:1010(get_yaxis_transform)
       30    0.000    0.000    0.003    0.000 table.py:479(_theap)
        4    0.000    0.000    0.001    0.000 _base.py:2975(handle_single_axis)
